,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used,University_Tag,pc1,pc2,pc3,followers,tweets,following
0,4.0,0.463391137,6710,35495355.0,0.86,1497,0.05,48949,0,1,Harvard,4.654625394519316,4.972302354479393,3.695261993190329,899K,"39.7K
            ",770
1,3.75,0.80692959,40168,29041575.0,0.55,1297,0.4,10136,1,0,UT,-0.5148784771236282,4.9316782964724055,1.352590981820759,245,"260
            ",93
2,3.87,0.477272727,5472,25490350.0,0.86,1498,0.06,51400,0,1,Yale,4.148496692040442,3.702635353305411,3.0654773637363486,428K,"20.8K
            ",280
3,3.9,0.267241379,5400,22438026.5,0.89,1490,0.07,47140,0,1,Princeton,4.125469693749573,4.1739071099207425,3.5599860383993955,332K,"31.5K
            ","1,781"
4,3.9,0.46272189399999997,7034,22310543.5,0.75,1479,0.05,49617,0,1,SU,3.7106415479559893,3.597373711333981,2.8981358406797737,641K,"18.4K
            ",518
5,3.8,0.493503937,30979,15350000.0,0.29,1290,0.51,5460,0,0,Brigham,-0.6881648125580272,3.632727639709414,2.3925286441976317,"1,549","1,429
            ",225
6,3.92,0.577142857,4524,13328129.0,0.84,1507,0.08,49892,0,1,MIT,3.6225991580990224,2.3332753079303155,1.4628757626860576,974K,"15K
            ",498
7,3.9,0.68252149,10019,10424466.5,0.85,1457,0.09,53534,0,1,Cal U ,3.204331571451818,1.7449893842340132,0.7271368241296384,13.6K,"16.8K
            ",142
8,4.0,0.781656805,8353,9920767.0,0.84,1460,0.11,52678,0,1,NU,3.2416260447461878,1.4809878796881677,0.08650710235204657,13.1K,"3,177
            ",664
9,3.8,0.811149228,28983,9847787.0,0.76,1384,0.29,14826,1,0,U of M,0.11055676195291599,2.9431182402466236,-0.5855218823243935,"6,466","8,685
            ",447
10,4.0,0.7027914609999999,6113,9340046.0,0.86,1473,0.06,57208,0,1,CU,3.5923009477748136,1.5900544392527958,0.4013812231582645,294K,"21.3K
            ",532
11,3.89,0.852300242,8530,8470517.5,0.9,1455,0.19,51505,0,1,ND,2.9423773583091704,0.8647707706981975,-0.18434620737639437,"2,321","3,762
            ",470
12,3.9,0.67008135,29311,8169086.0,0.76,1397,0.16,14098,1,0,Berkeley,0.5007559077932102,3.5792686087280488,-0.3808747513748126,157K,"15.6K
            ",395
13,4.0,0.6603773589999999,5941,7275457.0,0.89,1506,0.08,54825,0,1,UChicago ,3.621794917279832,1.5980907540155964,0.29524722533029696,53.5K,"8,105
            ",2
14,3.91,0.88019802,6609,7068162.5,0.86,1450,0.11,53744,0,1,DU,3.031426139112924,0.6524745521996751,-0.3382795794092869,72.6K,"30.9K
            ",748
15,3.87,0.745689655,7540,6640232.5,0.88,1469,0.17,51533,0,1,Wash U ,2.9659700827897617,1.0169678026449949,0.17714561680496357,30.5K,"9,615
            ",765
16,3.7,0.87917967,6861,6542977.5,0.85,1366,0.25,49392,0,1,Em,2.103876058477053,0.059500495355692386,0.19396940622939995,44.8K,"9,552
            ",624
17,3.86,0.8047253059999999,14566,5897634.0,0.87,1428,0.14,52853,0,1,CU,2.6342584566246656,0.9493426888450267,-0.22012633271645274,250K,"15.7K
            ",532
18,3.89,0.6724137929999999,3893,5440884.0,0.83,1482,0.15,45608,0,1,Rice,2.9210272521007434,1.1862634927901627,0.46219294595333466,31.8K,"19.4K
            ","1,154"
19,3.9,0.8580075659999999,18794,4659112.5,0.77,1391,0.17,54259,0,1,SC,2.1438506868365965,0.7967179354927933,-0.575588435452663,"9,508","2,904
            ",168
20,3.89,0.8057553959999999,4310,4568947.5,0.88,1437,0.11,52950,0,1,Dartmouth,2.996853410714516,0.5248152925437861,-0.1528897189602527,65.4K,"18.6K
            ","2,575"
21,3.8,0.563872256,6871,3977864.5,0.87,1498,0.11,47664,0,1,Vandy,2.975357057907308,1.3922216657168005,0.8438523287793698,47.6K,"17.1K
            ","2,085"
22,3.6,0.914684449,41359,3619021.0,0.68,1094,0.56,18436,1,0,Pennsylvania,-2.2450678068946592,1.3565908513393095,-0.9540706761405596,"1,122","50.8K
            ",885
23,3.8,0.866984222,45831,3606224.5,0.59,1295,0.54,10591,1,0,Ohio,-1.7780354206429565,2.5289855544329645,-1.5465870552553946,830,"4,041
            ",300
24,4.0,0.952991453,19123,3556839.5,0.64,1201,0.55,19080,1,0,Pitt,-0.8619904849427407,1.2286044690417481,-1.5332055449689592,40.3K,"10.8K
            ","1,781"
